Sample Name,Sample,Run,Unnamed: 2,treatment (lna),treatment (eps),A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
GSM5617726,SRR16242433,SRR16242433,1.0,Negative control,Rest,0.028211956,0.3139876505,0.040434308,0.0504260635,0.043601311000000004,0.20722304549999998
GSM5617727,SRR16242435,SRR16242435,1.0,Tug1,Rest,0.028375728,0.3144813315,0.0273134925,0.047564001499999994,0.038278304,0.21130784600000002
GSM5617728,SRR16242437,SRR16242437,1.0,Negative control,Rest,0.028431197499999998,0.355834002,0.029930455,0.048172389999999995,0.033484017,0.1884660655
GSM5617729,SRR16242439,SRR16242439,1.0,Tug1,Rest,0.0317507895,0.3068308805,0.033833550500000004,0.042565231,0.034658708499999996,0.2198365045
GSM5617730,SRR16242441,SRR16242441,1.0,Negative control,Rest,0.032716561500000005,0.3898431885,0.0461989405,0.0390986495,0.037657674,0.228814997
GSM5617731,SRR16242443,SRR16242443,1.0,Tug1,Rest,0.027027884500000002,0.3354134465,0.029307360999999997,0.0484852645,0.032654843,0.19547589450000002
GSM5617732,SRR16242445,SRR16242445,1.0,Negative control,EPS 0h,0.0330207265,0.5381585495,0.039029823,0.0535629845,0.0255085775,0.17278459699999998
GSM5617733,SRR16242447,SRR16242447,1.0,Tug1,EPS 0h,0.033725047999999994,0.4550768645,0.045168244999999996,0.058276404,0.028806229,0.17423812249999998
GSM5617734,SRR16242449,SRR16242449,1.0,Negative control,EPS 0h,0.026777891499999998,0.48564030550000004,0.034400029,0.057225005499999995,0.030124852,0.1737761705
GSM5617735,SRR16242451,SRR16242451,1.0,Tug1,EPS 0h,0.024475451500000002,0.5073064915000001,0.0322886285,0.057222636,0.024047783,0.15627056150000002
GSM5617736,SRR16242453,SRR16242453,1.0,Negative control,EPS 0h,0.030733775999999997,0.40779595599999996,0.041293827500000005,0.0449486515,0.027430269,0.1754282
GSM5617737,SRR16242455,SRR16242455,1.0,Tug1,EPS 0h,0.022897016,0.4821899155,0.037620549,0.048101153,0.0235885285,0.1769878615
GSM5617738,SRR16242457,SRR16242457,1.0,Negative control,EPS 3h,0.0355119325,0.5325376850000001,0.0378400505,0.06017764,0.022859878,0.1830280095
GSM5617739,SRR16242459,SRR16242459,1.0,Tug1,EPS 3h,0.035026941,0.5911578865,0.0451446825,0.043261109000000006,0.024332100000000002,0.1880907305
GSM5617740,SRR16242461,SRR16242461,1.0,Negative control,EPS 3h,0.0253284,0.565007475,0.0397926215,0.0580544635,0.0289191215,0.195569142
GSM5617741,SRR16242463,SRR16242463,1.0,Tug1,EPS 3h,0.035681307499999995,0.662311603,0.041862184499999996,0.051948807,0.0221424855,0.168447489
